gene_name	ensembl_transcript	refseq_transcript
GNL2	ENST00000373062	NM_013285.3
GJA4	ENST00000342280	NM_002060.3
MORN1	ENST00000378531	NM_024848.3
TTC22	ENST00000371276	NM_001114108.2
TIE1	ENST00000372476	NM_005424.5
MYCBP	ENST00000397572	NM_012333.5
DLGAP3	ENST00000373347	NM_001080418.3
RIMS3	ENST00000372684	NM_014747.3
RAB3B	ENST00000371655	NM_002867.4
SMIM12	ENST00000521580	NM_138428.6
CZIB	ENST00000294360	NM_017887.3
FAM151A	ENST00000302250	NM_176782.3
OSBPL9	ENST00000428468	NM_024586.6
C1orf210	ENST00000523677	NM_182517.3
PARS2	ENST00000371279	NM_152268.4
ZYG11B	ENST00000294353	NM_024646.3
L1TD1	ENST00000498273	NM_019079.5
TXNDC12	ENST00000371626	NM_015913.4
TTC4	ENST00000371281	NM_004623.5
KLF17	ENST00000372299	NM_173484.4
PLPP3	ENST00000371250	NM_003713.5
SNIP1	ENST00000296215	NM_024700.4
CPT2	ENST00000371486	NM_000098.3
FOXJ3	ENST00000361346	NM_014947.5
TUT4	ENST00000257177	NM_001009881.3
KLF18	ENST00000634670	NM_001358438.1
MAGOH	ENST00000371470	NM_002370.4
CDKN2C	ENST00000371761	NM_078626.3
C1orf87	ENST00000371201	NM_152377.3
ZSWIM5	ENST00000359600	NM_020883.2
OMA1	ENST00000371226	NM_145243.5
SLC35D1	ENST00000235345	NM_015139.3
LRP8	ENST00000306052	NM_004631.5
TCEANC2	ENST00000234827	NM_153035.3
KTI12	ENST00000371614	NM_138417.3
KANK4	ENST00000371153	NM_181712.5
USP1	ENST00000339950	NM_003368.5
AK5	ENST00000354567	NM_174858.3
GIPC2	ENST00000370759	NM_017655.6
RPE65	ENST00000262340	NM_000329.3
ANGPTL3	ENST00000371129	NM_014495.4
DNAJC6	ENST00000371069	NM_001256864.2
AK4	ENST00000327299	NM_013410.4
LEPROT	ENST00000371065	NM_017526.5
CACHD1	ENST00000651257	NM_020925.4
EFCAB7	ENST00000371088	NM_032437.4
MCOLN2	ENST00000370608	NM_153259.4
ST6GALNAC5	ENST00000477717	NM_030965.3
ATG4C	ENST00000317868	NM_032852.4
ADGRL4	ENST00000370742	NM_022159.4
GJA9	ENST00000357771	NM_030772.5
TTLL7	ENST00000260505	NM_024686.6
KDM4A	ENST00000372396	NM_014663.3
ZNHIT6	ENST00000370574	NM_017953.4
MROH7	ENST00000421030	NM_001039464.4
PTGFR	ENST00000370757	NM_000959.4
LMO4	ENST00000370544	NM_006769.4
PRPF38A	ENST00000257181	NM_032864.4
PIGK	ENST00000370812	NM_005482.3
GUCA2A	ENST00000357001	NM_033553.3
DOCK7	ENST00000635253	NM_001367561.1
NEGR1	ENST00000357731	NM_173808.3
KYAT3	ENST00000260508	NM_001008661.3
SHISAL2A	ENST00000517870	NM_001042693.3
DNTTIP2	ENST00000436063	NM_014597.5
PTPRF	ENST00000359947	NM_002840.5
DHCR24	ENST00000371269	NM_014762.4
COL24A1	ENST00000370571	NM_152890.7
GPX7	ENST00000361314	NM_015696.5
SLC44A3	ENST00000271227	NM_001114106.3
PKN2	ENST00000370521	NM_006256.4
ABCD3	ENST00000370214	NM_002858.4
ALG14	ENST00000370205	NM_144988.4
ZZZ3	ENST00000370801	NM_015534.6
GJB4	ENST00000339480	NM_153212.3
TMEM125	ENST00000439858	NM_144626.3
DMRTA2	ENST00000404795	NM_032110.3
HIVEP3	ENST00000372583	NM_024503.5
BCAR3	ENST00000260502	NM_003567.4
BARHL2	ENST00000370445	NM_020063.2
CNN3	ENST00000370206	NM_001839.5
VAV3	ENST00000370056	NM_006113.5
DPYD	ENST00000370192	NM_000110.4
TLCD4	ENST00000370203	NM_152487.3
LRRC8D	ENST00000337338	NM_001134479.2
S1PR1	ENST00000305352	NM_001400.5
ELAPOR1	ENST00000369939	NM_020775.5
ARHGAP29	ENST00000260526	NM_004815.4
PGM1	ENST00000371084	NM_002633.3
IGSF21	ENST00000251296	NM_032880.5
COA7	ENST00000371538	NM_023077.3
OLFML3	ENST00000320334	NM_020190.5
GCLM	ENST00000370238	NM_002061.4
TGFBR3	ENST00000212355	NM_003243.5
SZT2	ENST00000634258	NM_001365999.1
PHTF1	ENST00000369604	NM_001323043.2
F3	ENST00000334047	NM_001993.5
VCAM1	ENST00000294728	NM_001078.4
GPR88	ENST00000315033	NM_022049.3
RWDD3	ENST00000370202	NM_015485.5
MAN1A2	ENST00000356554	NM_006699.5
LPAR3	ENST00000370611	NM_012152.3
CTTNBP2NL	ENST00000271277	NM_018704.3
CIMAP3	ENST00000369738	NM_181643.6
TSPAN2	ENST00000369516	NM_005725.6
LRIG2	ENST00000361127	NM_014813.3
SLC35A3	ENST00000533028	NM_012243.3
AGL	ENST00000361915	NM_000642.3
SLC6A17	ENST00000331565	NM_001010898.4
HSD3B2	ENST00000369416	NM_000198.4
RNPC3	ENST00000423855	NM_017619.4
SNX7	ENST00000306121	NM_015976.5
SLC30A7	ENST00000357650	NM_133496.5
SEC22B	ENST00000578049	NM_004892.6
PTGFRN	ENST00000393203	NM_020440.4
ZNF326	ENST00000340281	NM_182976.4
TRIM45	ENST00000256649	NM_025188.4
TENT5C	ENST00000369448	NM_017709.4
SYCP1	ENST00000369522	NM_003176.4
PIP5K1A	ENST00000368888	NM_001135638.2
GDAP2	ENST00000369443	NM_017686.4
TSHB	ENST00000256592	NM_000549.5
WDR3	ENST00000349139	NM_006784.3
SLC22A15	ENST00000369503	NM_018420.3
SCNM1	ENST00000368905	NM_024041.4
FLG	ENST00000368799	NM_002016.2
CDC14A	ENST00000336454	NM_003672.4
CD53	ENST00000271324	NM_000560.4
FLG2	ENST00000388718	NM_001014342.3
SRGAP2C	ENST00000367123	NM_001329984.2
SPAG17	ENST00000336338	NM_206996.4
TTF2	ENST00000369466	NM_003594.4
MAGI3	ENST00000307546	NM_001142782.2
GABPB2	ENST00000368918	NM_144618.3
CD5L	ENST00000368174	NM_005894.3
LYSMD1	ENST00000368908	NM_212551.5
CD2	ENST00000369478	NM_001767.5
DEPDC1	ENST00000456315	NM_001114120.3
GPR89A	ENST00000313835	NM_001097612.2
GTF2B	ENST00000370500	NM_001514.6
TNFSF4	ENST00000281834	NM_003326.5
KCNJ9	ENST00000368088	NM_004983.3
CSF1	ENST00000329608	NM_000757.6
TNFAIP8L2	ENST00000368910	NM_024575.5
IGSF8	ENST00000314485	NM_052868.6
MPC2	ENST00000271373	NM_001143674.4
FIRRM	ENST00000359326	NM_001320047.2
LAMC1	ENST00000258341	NM_002293.4
MGST3	ENST00000367889	NM_004528.4
CASQ1	ENST00000368078	NM_001231.5
ILF2	ENST00000361891	NM_004515.4
NME7	ENST00000367811	NM_013330.5
RCSD1	ENST00000367854	NM_052862.4
SFT2D2	ENST00000271375	NM_199344.3
UCK2	ENST00000367879	NM_012474.5
PIGM	ENST00000368090	NM_145167.3
XCL2	ENST00000367819	NM_003175.4
POU2F1	ENST00000367866	NM_002697.4
KIFAP3	ENST00000361580	NM_014970.4
TBX15	ENST00000369429	NM_001330677.2
CD48	ENST00000368046	NM_001778.4
RXRG	ENST00000359842	NM_006917.5
TPR	ENST00000367478	NM_003292.3
ATP1A2	ENST00000361216	NM_000702.4
METTL18	ENST00000310392	NM_033418.4
CHIA	ENST00000369740	NM_201653.4
EXTL2	ENST00000370114	NM_001033025.3
DDX59	ENST00000331314	NM_001031725.6
NIBAN1	ENST00000367511	NM_052966.4
OR10J5	ENST00000334857	NM_001004469.1
LAMC2	ENST00000264144	NM_005562.3
CD58	ENST00000369489	NM_001779.3
GPA33	ENST00000367868	NM_005814.3
XCL1	ENST00000367818	NM_002995.3
KCNJ10	ENST00000644903	NM_002241.5
NUF2	ENST00000271452	NM_145697.3
MFSD4A	ENST00000367147	NM_181644.5
TBX19	ENST00000367821	NM_005149.3
NR5A2	ENST00000367362	NM_205860.3
SCYL3	ENST00000367771	NM_020423.7
DUSP10	ENST00000366899	NM_007207.6
NMNAT2	ENST00000287713	NM_015039.4
TARBP1	ENST00000040877	NM_005646.4
LY9	ENST00000263285	NM_002348.4
TDRD5	ENST00000444136	NM_001199085.3
SCCPDH	ENST00000366510	NM_016002.3
ELK4	ENST00000357992	NM_001973.4
TFB2M	ENST00000366514	NM_022366.3
LYPLAL1	ENST00000366928	NM_138794.5
MPZL1	ENST00000359523	NM_003953.6
INTS7	ENST00000366994	NM_015434.4
CATSPERE	ENST00000366534	NM_001130957.2
PRDX6	ENST00000340385	NM_004905.3
EDARADD	ENST00000334232	NM_145861.4
BRINP3	ENST00000367462	NM_199051.3
LMX1A	ENST00000342310	NM_177398.4
ADCY10	ENST00000367851	NM_018417.6
SELE	ENST00000333360	NM_000450.2
GPATCH2	ENST00000366935	NM_018040.5
SMYD2	ENST00000366957	NM_020197.3
SELL	ENST00000236147	NM_000655.5
DPT	ENST00000367817	NM_001937.5
CAPN8	ENST00000366872	NM_001143962.2
RHOU	ENST00000366691	NM_021205.6
RNF2	ENST00000367510	NM_007212.4
RGS5	ENST00000313961	NM_003617.4
SPATA17	ENST00000366933	NM_138796.4
PRRX1	ENST00000239461	NM_022716.4
IVNS1ABP	ENST00000367498	NM_006469.5
ASTN1	ENST00000361833	NM_004319.3
DTL	ENST00000366991	NM_016448.4
TRMT1L	ENST00000367506	NM_030934.5
SOAT1	ENST00000367619	NM_003101.6
CNST	ENST00000366513	NM_152609.3
SOX13	ENST00000367204	NM_005686.3
NID1	ENST00000264187	NM_002508.3
ZNF678	ENST00000343776	NM_001367909.1
SLC9C2	ENST00000367714	NM_178527.4
LHX9	ENST00000367387	NM_020204.3
DESI2	ENST00000302550	NM_016076.5
SLC26A9	ENST00000367135	NM_052934.4
SLC45A3	ENST00000367145	NM_033102.3
ILDR2	ENST00000271417	NM_199351.3
KIF26B	ENST00000407071	NM_018012.4
RRP15	ENST00000366932	NM_016052.4
PTPN14	ENST00000366956	NM_005401.5
NEK2	ENST00000366999	NM_002497.4
C1orf53	ENST00000367393	NM_001024594.3
RAB4A	ENST00000366690	NM_004578.4
TOMM20	ENST00000366607	NM_014765.3
TADA1	ENST00000367874	NM_053053.4
REN	ENST00000272190	NM_000537.4
DHX9	ENST00000367549	NM_001357.5
BTF3L4	ENST00000313334	NM_152265.5
SWT1	ENST00000367500	NM_017673.7
COP1	ENST00000367669	NM_022457.7
SLAMF7	ENST00000368043	NM_021181.5
RGS18	ENST00000367460	NM_130782.3
GNPAT	ENST00000366647	NM_014236.4
TGFB2	ENST00000366930	NM_003238.6
ODR4	ENST00000287859	NM_017847.6
FMO4	ENST00000367749	NM_002022.3
NSL1	ENST00000366977	NM_015471.4
HFM1	ENST00000370425	NM_001017975.6
ATP1A4	ENST00000368081	NM_144699.4
GALNT2	ENST00000366672	NM_004481.5
FMO1	ENST00000617670	NM_001282693.2
SPRTN	ENST00000295050	NM_032018.7
EGLN1	ENST00000366641	NM_022051.3
FCRL1	ENST00000368176	NM_052938.5
GNG4	ENST00000391854	NM_001098722.2
PAPPA2	ENST00000367662	NM_020318.3
LRRN2	ENST00000367177	NM_201630.2
PPP2R5A	ENST00000261461	NM_006243.4
SPMIP3	ENST00000308105	NM_001012970.3
RNASEL	ENST00000367559	NM_021133.4
SPATA45	ENST00000332912	NM_001024601.3
PLA2G4A	ENST00000367466	NM_024420.3
ETNK2	ENST00000367202	NM_018208.4
SHCBP1L	ENST00000367547	NM_030933.4
LPGAT1	ENST00000366997	NM_014873.3
PFKFB2	ENST00000367080	NM_006212.2
TATDN3	ENST00000366974	NM_001042552.3
SELP	ENST00000263686	NM_003005.4
CAMK1G	ENST00000361322	NM_020439.3
ZNF672	ENST00000306562	NM_024836.3
LAMB3	ENST00000356082	NM_000228.3
ARHGEF10L	ENST00000361221	NM_018125.4
NOS1AP	ENST00000361897	NM_014697.3
ANGEL2	ENST00000366962	NM_144567.5
RGSL1	ENST00000294854	NM_001137669.2
EXOC8	ENST00000366645	NM_175876.5
BRINP2	ENST00000361539	NM_021165.4
NEK7	ENST00000367385	NM_133494.3
PGBD5	ENST00000391860	NM_001258311.2
ANKRD45	ENST00000333279	NM_198493.3
ZNF695	ENST00000339986	NM_020394.5
RPS6KC1	ENST00000366960	NM_012424.6
PM20D1	ENST00000367136	NM_152491.5
NUP133	ENST00000261396	NM_018230.3
RGS21	ENST00000417209	NM_001039152.3
RGS1	ENST00000367459	NM_002922.4
PGBD2	ENST00000329291	NM_170725.3
FLVCR1	ENST00000366971	NM_014053.4
SLC41A1	ENST00000367137	NM_173854.6
USH2A	ENST00000307340	NM_206933.4
ZNF670	ENST00000366503	NM_033213.5
ADSS2	ENST00000366535	NM_001126.5
PLD5	ENST00000536534	NM_001372062.1
ACBD6	ENST00000367595	NM_032360.4
ST7L	ENST00000358039	NM_017744.5
XPR1	ENST00000367590	NM_004736.4
KIF14	ENST00000367350	NM_014875.3
STYXL2	ENST00000361200	NM_001080426.3
COLGALT2	ENST00000361927	NM_015101.4
SDCCAG8	ENST00000366541	NM_006642.5
SLC35F3	ENST00000366618	NM_173508.4
ZNF281	ENST00000367353	NM_001281293.2
MAEL	ENST00000367872	NM_032858.3
ARID4B	ENST00000264183	NM_016374.6
SH3BP5L	ENST00000366472	NM_030645.3
WNT2B	ENST00000369684	NM_024494.3
NUCKS1	ENST00000367142	NM_022731.5
FYB2	ENST00000343433	NM_001004303.5
CDC7	ENST00000234626	NM_003503.4
TEX50	ENST00000417563	NM_001195190.3
GPR52	ENST00000367685	NM_005684.5
SMYD3	ENST00000490107	NM_001167740.2
KLHL20	ENST00000209884	NM_014458.4
RAB29	ENST00000367139	NM_003929.3
KCTD3	ENST00000259154	NM_016121.5
ZC3H12A	ENST00000373087	NM_025079.3
HHAT	ENST00000261458	NM_018194.6
RBM34	ENST00000408888	NM_015014.4
TEDDM1	ENST00000367565	NM_172000.4
HMCN1	ENST00000271588	NM_031935.3
PDC	ENST00000391997	NM_002597.5
CAMK2N1	ENST00000375078	NM_018584.6
MUL1	ENST00000264198	NM_024544.3
FAM43B	ENST00000332947	NM_207334.3
CDA	ENST00000375071	NM_001785.3
PINK1	ENST00000321556	NM_032409.3
CDC73	ENST00000367435	NM_024529.5
B3GALT2	ENST00000367434	NM_003783.3
LRRC40	ENST00000370952	NM_017768.5
ANKRD13C	ENST00000370944	NM_030816.5
CTH	ENST00000370938	NM_001902.6
E2F2	ENST00000361729	NM_004091.4
ID3	ENST00000374561	NM_002167.5
RPL11	ENST00000643754	NM_000975.5
PITHD1	ENST00000246151	NM_020362.5
LYPLA2	ENST00000374514	NM_007260.3
GALE	ENST00000617979	NM_001008216.2
APCS	ENST00000255040	NM_001639.4
CRP	ENST00000255030	NM_000567.3
DUSP23	ENST00000368107	NM_001319658.2
FCRL6	ENST00000368106	NM_001004310.3
SLAMF8	ENST00000289707	NM_020125.3
VSIG8	ENST00000368100	NM_001013661.1
CFAP45	ENST00000368099	NM_012337.3
SLAMF9	ENST00000368093	NM_033438.4
ATP1A1	ENST00000295598	NM_000701.8
ZBTB41	ENST00000367405	NM_194314.3
EFNA4	ENST00000368409	NM_005227.3
EFNA3	ENST00000368408	NM_004952.5
EFNA1	ENST00000368407	NM_004428.3
SLC50A1	ENST00000368404	NM_018845.4
KRTCAP2	ENST00000295682	NM_173852.4
THBS3	ENST00000368378	NM_007112.5
GBA1	ENST00000368373	NM_000157.4
SCAMP3	ENST00000302631	NM_005698.4
CLK2	ENST00000368361	NM_001294338.2
HCN3	ENST00000368358	NM_020897.3
PKLR	ENST00000342741	NM_000298.6
CR1L	ENST00000508064	NM_175710.2
CD34	ENST00000310833	NM_001025109.2
PGD	ENST00000270776	NM_002631.4
CENPS	ENST00000309048	NM_199294.3
DFFA	ENST00000377038	NM_004401.3
LAX1	ENST00000442561	NM_017773.4
SNRPE	ENST00000414487	NM_003094.4
SMPDL3B	ENST00000373894	NM_014474.4
XKR8	ENST00000373884	NM_018053.4
FAM89A	ENST00000366654	NM_198552.3
C1orf131	ENST00000366649	NM_152379.4
TOE1	ENST00000372090	NM_025077.4
TESK2	ENST00000372086	NM_007170.3
CCDC163	ENST00000629482	NM_001102601.3
MMACHC	ENST00000401061	NM_015506.3
GCSAML	ENST00000366488	NM_145278.5
OR2G2	ENST00000320065	NM_001001915.1
OR2G3	ENST00000320002	NM_001001914.1
CHRM3	ENST00000676153	NM_001375978.1
EEIG2	ENST00000370035	NM_001010883.3
HENMT1	ENST00000651461	NM_001102592.2
PRPF38B	ENST00000370025	NM_018061.4
FNDC7	ENST00000370017	NM_001144937.3
STXBP3	ENST00000370008	NM_007269.4
TMEM167B	ENST00000338272	NM_020141.4
DAP3	ENST00000368336	NM_004632.4
SYT11	ENST00000368324	NM_152280.5
KHDC4	ENST00000368321	NM_014949.4
SSR2	ENST00000295702	NM_003145.4
UBQLN4	ENST00000368309	NM_020131.5
RAB25	ENST00000361084	NM_020387.4
BGLAP	ENST00000368272	NM_199173.6
SMG5	ENST00000361813	NM_015327.3
TMEM79	ENST00000405535	NM_032323.3
CCT3	ENST00000295688	NM_005998.5
RHBG	ENST00000537040	NM_020407.5
MEX3A	ENST00000532414	NM_001093725.2
CYP4X1	ENST00000371901	NM_178033.2
CYP4Z1	ENST00000334194	NM_178134.3
PDZK1IP1	ENST00000294338	NM_005764.4
FOXE3	ENST00000335071	NM_012186.3
VHLL	ENST00000339922	NM_001004319.3
LRRC52	ENST00000294818	NM_001005214.4
IGSF3	ENST00000369486	NM_001007237.3
GLUL	ENST00000331872	NM_001033044.4
NTMT2	ENST00000439373	NM_001136107.2
ELAVL4	ENST00000371824	NM_001144774.3
COA6	ENST00000366615	NM_001206641.3
CORT	ENST00000377049	NM_001302.5
AHCTF1	ENST00000648844	NM_001323342.2
FRRS1	ENST00000646001	NM_001361041.2
LRRC7	ENST00000651989	NM_001370785.2
F13B	ENST00000367412	NM_001994.3
LEPR	ENST00000349533	NM_002303.6
PSMD4	ENST00000368884	NM_002810.4
TAGLN2	ENST00000368097	NM_003564.3
PEA15	ENST00000360472	NM_003768.5
H6PD	ENST00000377403	NM_004285.4
FOXD2	ENST00000334793	NM_004474.4
DDOST	ENST00000602624	NM_005216.5
PRG4	ENST00000445192	NM_005807.6
ST3GAL3	ENST00000347631	NM_006279.5
ZNF692	ENST00000306601	NM_017865.4
FGGY	ENST00000303721	NM_018291.5
PLA2G2F	ENST00000375102	NM_022819.4
OLFM3	ENST00000370103	NM_058170.4
PRXL2B	ENST00000419916	NM_152371.5
DPM3	ENST00000368400	NM_153741.2
RXFP4	ENST00000368318	NM_181885.3
NPPB	ENST00000376468	NM_002521.3
PLOD1	ENST00000196061	NM_000302.4
MIIP	ENST00000235332	NM_021933.4
TNFRSF8	ENST00000263932	NM_001243.5
RBBP4	ENST00000373493	NM_005610.3
SYNC	ENST00000409190	NM_030786.3
KIAA1522	ENST00000401073	NM_020888.3
S100PBP	ENST00000373475	NM_022753.4
HPCA	ENST00000373467	NM_002143.3
TMEM54	ENST00000373463	NM_033504.4
UFC1	ENST00000368003	NM_016406.4
PPOX	ENST00000367999	NM_001122764.3
B4GALT3	ENST00000319769	NM_003779.4
ADAMTS4	ENST00000367996	NM_005099.6
FCER1G	ENST00000289902	NM_004106.2
APOA2	ENST00000367990	NM_001643.2
TOMM40L	ENST00000367988	NM_032174.6
NR1I3	ENST00000367983	NM_005122.5
PCP4L1	ENST00000504449	NM_001102566.2
CFAP126	ENST00000367974	NM_001013625.4
GJA5	ENST00000579774	NM_181703.4
GJA8	ENST00000369235	NM_005267.5
GPR89B	ENST00000314163	NM_016334.5
MFN2	ENST00000235329	NM_014874.4
TMCO2	ENST00000372766	NM_001008740.4
ZMPSTE24	ENST00000372759	NM_005857.5
COL9A2	ENST00000372748	NM_001852.4
ZFP69B	ENST00000361584	NM_023070.3
MPZ	ENST00000533357	NM_000530.8
MTFR1L	ENST00000374303	NM_001099625.2
AUNIP	ENST00000374298	NM_024037.3
PAQR7	ENST00000675840	NM_178422.6
STMN1	ENST00000455785	NM_005563.4
TMEM53	ENST00000372237	NM_024587.4
ARMH1	ENST00000535358	NM_001145636.2
KIF2C	ENST00000372224	NM_006845.4
RPS8	ENST00000396651	NM_001012.2
BEST4	ENST00000372207	NM_153274.3
PLK3	ENST00000372201	NM_004073.4
PTCH2	ENST00000372192	NM_003738.5
EIF2B3	ENST00000360403	NM_020365.5
HECTD3	ENST00000372172	NM_024602.6
UROD	ENST00000246337	NM_000374.5
NOL9	ENST00000377705	NM_024654.5
TAS1R1	ENST00000333172	NM_138697.4
ZBTB48	ENST00000377674	NM_005341.4
LRRC8C	ENST00000370454	NM_032270.5
EPHA8	ENST00000166244	NM_020526.5
HEATR1	ENST00000366582	NM_018072.6
MT1HL1	ENST00000464121	NM_001276687.2
STX12	ENST00000373943	NM_177424.3
PPP1R8	ENST00000311772	NM_014110.5
THEMIS2	ENST00000373921	NM_001105556.3
RPA2	ENST00000373912	NM_002946.5
MFAP2	ENST00000375535	NM_002403.4
ATP13A2	ENST00000326735	NM_022089.4
PADI2	ENST00000375486	NM_007365.3
PADI1	ENST00000375471	NM_013358.3
PADI3	ENST00000375460	NM_016233.2
CCN1	ENST00000451137	NM_001554.5
HHIPL2	ENST00000343410	NM_024746.4
TAF1A	ENST00000352967	NM_005681.4
MIA3	ENST00000344922	NM_198551.4
AIDA	ENST00000340020	NM_022831.4
BROX	ENST00000340934	NM_144695.4
TLR5	ENST00000642603	NM_003268.6
ERMAP	ENST00000372517	NM_001017922.2
ZNF691	ENST00000651192	NM_001242739.2
DISP1	ENST00000675850	NM_001377229.1
HSD3B1	ENST00000369413	NM_000862.3
ZNF697	ENST00000421812	NM_001080470.2
HMGCS2	ENST00000369406	NM_005518.4
REG4	ENST00000256585	NM_032044.4
ADAM30	ENST00000369400	NM_021794.4
PHGDH	ENST00000641023	NM_006623.4
INSRR	ENST00000368195	NM_014215.3
LRRC47	ENST00000378251	NM_020710.3
TBCE	ENST00000642610	NM_003193.5
DENND4B	ENST00000361217	NM_014856.3
CRTC2	ENST00000368633	NM_181715.3
CREB3L4	ENST00000368607	NM_001255978.2
JTB	ENST00000271843	NM_006694.4
RAB13	ENST00000368575	NM_002870.5
RPS27	ENST00000651669	NM_001030.6
C1orf52	ENST00000471115	NM_198077.4
CEP104	ENST00000378230	NM_014704.4
DFFB	ENST00000378209	NM_004402.4
ACP6	ENST00000583509	NM_016361.5
C1orf21	ENST00000235307	NM_030806.4
HSPA6	ENST00000309758	NM_002155.5
PROK1	ENST00000271331	NM_032414.3
KCNA10	ENST00000369771	NM_005549.2
KCNA2	ENST00000316361	NM_004974.4
FDPS	ENST00000368356	NM_002004.4
GPSM2	ENST00000264126	NM_013296.5
DYNLT4	ENST00000339355	NM_001377534.1
KCNK2	ENST00000444842	NM_001017425.3
RO60	ENST00000400968	NM_001173524.2
SYT6	ENST00000610222	NM_001253772.2
TSACC	ENST00000368254	NM_001304817.2
CFAP57	ENST00000372492	NM_001378189.1
EBNA1BP2	ENST00000236051	NM_006824.3
WARS2	ENST00000235521	NM_015836.4
PACC1	ENST00000261455	NM_018252.3
FAM76A	ENST00000373954	NM_152660.3
GLRX2	ENST00000367439	NM_197962.3
TNFRSF25	ENST00000356876	NM_003790.3
RCOR3	ENST00000419091	NM_001136223.3
CFAP276	ENST00000369948	NM_001245025.3
POGK	ENST00000367876	NM_017542.5
PAQR6	ENST00000292291	NM_198406.3
RGL1	ENST00000360851	NM_001297671.3
HAO2	ENST00000325945	NM_016527.4
ITGB3BP	ENST00000271002	NM_014288.5
KCNC4	ENST00000438661	NM_001039574.3
MEAF6	ENST00000296214	NM_001270875.3
PPT1	ENST00000642050	NM_000310.4
PLEKHG5	ENST00000377728	NM_020631.6
LGALS8	ENST00000366584	NM_201544.4
MRPL20	ENST00000344843	NM_017971.4
VWA1	ENST00000476993	NM_022834.5
ATAD3C	ENST00000378785	NM_001039211.3
ABCB10	ENST00000344517	NM_012089.3
URB2	ENST00000258243	NM_014777.4
RNF186	ENST00000375121	NM_019062.2
OTUD3	ENST00000375120	NM_015207.2
PLA2G2E	ENST00000375116	NM_014589.3
OR2M7	ENST00000317965	NM_001004691.1
OR14C36	ENST00000317861	NM_001001918.1
KNCN	ENST00000481882	NM_001322255.2
MKNK1	ENST00000371945	NM_001135553.4
ARTN	ENST00000372359	NM_057091.3
IPO13	ENST00000372343	NM_014652.4
ATP6V0B	ENST00000472174	NM_004047.5
CCDC24	ENST00000372318	NM_152499.4
SLC6A9	ENST00000372310	NM_001024845.3
OR2T3	ENST00000359594	NM_001005495.1
OR2T5	ENST00000641363	NM_001004697.2
OR2T34	ENST00000328782	NM_001001821.1
LCE3B	ENST00000335633	NM_178433.1
LCE3A	ENST00000335674	NM_178431.1
LCE2D	ENST00000368784	NM_178430.4
LCE2B	ENST00000368780	NM_014357.5
LCE2A	ENST00000368779	NM_178428.4
PRAMEF15	ENST00000376152	NM_001098376.3
PRAMEF14	ENST00000334600	NM_001024661.2
PRAMEF17	ENST00000376098	NM_001099851.3
